time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/18:55:55.583804,113147,0,0,,0.40758361002138066,0.45023858333147243,-1.1565137419538536,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.584624,112,0,0,,0.40758361002138066,0.45023858333147243,-1.1565137419538536,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.593416,113148,0,0,,0.4075857373700715,0.45023965462226423,-1.1594950411570775,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.595440,113,0,0,,0.4075830467490057,0.45023865714892725,-1.1649516163790903,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.603081,114,0,0,,0.4075863547613978,0.45023951110144184,-1.1699185992754002,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.604262,113149,0,0,,0.4075863547613978,0.45023951110144184,-1.1699185992754002,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.613089,115,0,0,,0.40758533734681235,0.45023919722862277,-1.1743290302573761,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.613768,113150,0,0,,0.40758501396731506,0.45023858167526176,-1.1703489363071042,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.623210,116,0,0,,0.4075854026478729,0.450240121607929,-1.1580700014496894,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.623913,113151,0,0,,0.40758446507965157,0.45023960074956226,-1.1581888030504224,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.633582,113152,0,0,,0.40758378353693697,0.45023794851434573,-1.1315411106593372,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.633871,117,0,0,,0.40758429523515016,0.45023842076030424,-1.1325970286555072,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.643308,118,0,0,,0.4075845501147345,0.4502383394632491,-1.1477680195319677,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.644540,113153,0,0,,0.4075816223155647,0.4502390188570111,-1.1522096400887105,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.653508,113154,0,0,,0.4075851721840651,0.4502399361575485,-1.1632184638077803,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.653818,119,0,0,,0.4075855358922248,0.4502391276996942,-1.1623247645418786,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.662883,120,0,0,,0.40758473218724744,0.4502394817793147,-1.1371550702211992,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.663558,113155,0,0,,0.4075829007002163,0.4502398268633041,-1.1382126428184283,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.673704,121,0,0,,0.40758392481008987,0.4502388126514558,-1.1573714023737032,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.675050,113156,0,0,,0.4075861686132748,0.4502388126514558,-1.1610986170503772,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.683539,122,0,0,,0.4075844750787031,0.450238921386934,-1.158366148898403,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.683553,113157,0,0,,0.40758447483403243,0.450238921386934,-1.157099175544417,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.692880,123,0,0,,0.40758582965878154,0.4502393932539466,-1.1489274082666625,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.693597,113158,0,0,,0.40758582965878154,0.45023947447596835,-1.1489274082666625,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.703079,124,0,0,,0.40758427798086905,0.45024002325217194,-1.1378088466554812,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.703548,113159,0,0,,0.4075833819276218,0.45023911068749123,-1.1391619677605296,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.713077,125,0,0,,0.4075848061843443,0.45023941758216085,-1.1452245213338483,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.713930,113160,0,0,,0.4075843868023966,0.4502391008542408,-1.1412052483566266,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.722909,126,0,0,,0.40758381238717784,0.45023801756922543,-1.1340151621361185,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.724108,113161,0,0,,0.40758208707835974,0.45023801756922543,-1.1278838910510351,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.733523,127,0,0,,0.4075846375109988,0.4502389298584545,-1.1184616065826605,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.734251,113162,0,0,,0.4075874093749501,0.45023805637789704,-1.1249489873346323,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.743384,128,0,0,,0.407581813548494,0.45023987315622976,-1.1495718606037333,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.744249,113163,0,0,,0.4075835652379563,0.45023987315622976,-1.1393540600451342,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.753537,129,0,0,,0.40758656596596565,0.45023927206937914,-1.1572032812752109,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.754577,113164,0,0,,0.40758422957620444,0.45024013679869695,-1.1580988574590003,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.763291,130,0,0,,0.40758473044483046,0.45023944833479396,-1.142099487093715,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.763922,113165,0,0,,0.4075831793470327,0.45023932923279936,-1.1437701232128255,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.773045,131,0,0,,0.40758331921307567,0.45023892979051017,-1.1517647153566324,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.775079,113166,0,0,,0.4075861967507847,0.45023892979051017,-1.1448925058188655,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.783736,132,0,0,,0.40758506956197604,0.4502387739054182,-1.1538921131959619,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.784378,113167,0,0,,0.40758449747706704,0.4502387739054182,-1.1574090400137185,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.793113,133,0,0,,0.4075852724640747,0.45023922072718225,-1.151714595835686,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:55:55.794919,113168,0,0,,0.4075852724640747,0.4502390142117178,-1.151714595835686,0.0,800.0,800.0,0.0,0.0
