time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/17:59:40.738315,24,0,0,,0.2977237749233826,0.39024207761193913,0.28266787600466114,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.748547,25,0,0,,0.2977244736566374,0.39024185769255054,0.276514892458094,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.758900,26,0,0,,0.29772370637866086,0.39024295923717733,0.2719798285247076,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.768408,27,0,0,,0.29772287451963525,0.3902426627652959,0.25902635952717684,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.778294,28,0,0,,0.29772298307602907,0.3902428642739365,0.24555680123844,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.789063,29,0,0,,0.2977265564890652,0.3902424537601334,0.2394967176775356,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.798578,30,0,0,,0.2977216372223376,0.39024344691786805,0.24488496651515593,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.808342,31,0,0,,0.2977247427771515,0.3902417405106347,0.2550725660084231,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.819275,32,0,0,,0.29772446519549967,0.3902430394301347,0.24136040502104605,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.828989,33,0,0,,0.29772384570955873,0.39024210995201897,0.23879023240325328,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.838815,34,0,0,,0.29772300806607477,0.3902432552461332,0.25091028926836334,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.848877,35,0,0,,0.2977243238031705,0.3902429832929615,0.2569814264538705,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.858659,36,0,0,,0.2977238684264133,0.3902418650551149,0.2616183965691429,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.868429,37,0,0,,0.2977234810780869,0.390241962876683,0.2844522360172509,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.878507,38,0,0,,0.2977233423908002,0.39024263168592666,0.2899496949231766,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.888427,39,0,0,,0.2977242866851452,0.39024221872033527,0.2930398044826122,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.898483,40,0,0,,0.2977236678489372,0.39024234630750554,0.2969332378783962,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.908494,41,0,0,,0.2977240890915661,0.39024271315856146,0.27861403668759105,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.918902,42,0,0,,0.2977249089565448,0.39024283085288264,0.27703934476174347,0.0,800.0,800.0,0.0,0.0
2023/09/22/17:59:40.928625,43,0,0,,0.29772515766949914,0.39024179232993234,0.2551163223714902,0.0,800.0,800.0,0.0,0.0
