time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/18:46:45.663849,58155,0,0,,0.46403009552578034,0.4483922834488406,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.670562,150,0,0,,0.46403204694880135,0.44839293369964484,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.673528,58156,0,0,,0.46403178024342995,0.4483941703595056,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.680273,151,0,0,,0.4640307843561578,0.44839317911590315,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.683679,58157,0,0,,0.46403381767451674,0.44839335544619885,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.690689,152,0,0,,0.4640321145268482,0.4483936137790656,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.694142,58158,0,0,,0.464029518366651,0.448393401458016,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.700636,153,0,0,,0.4640313821362683,0.44839332689047706,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.703622,58159,0,0,,0.4640340295499121,0.44839250283855236,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.710638,154,0,0,,0.46403409821413455,0.44839210926395157,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.713516,58160,0,0,,0.46403126359291325,0.4483924508905788,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.721987,155,0,0,,0.46403265788669307,0.4483925405753669,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.723754,58161,0,0,,0.46402960321077863,0.4483935418322742,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.730816,156,0,0,,0.4640337456306588,0.4483928320804199,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.733726,58162,0,0,,0.4640332320313583,0.4483940338162086,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.740938,157,0,0,,0.46403505250968213,0.4483915971742557,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.743626,58163,0,0,,0.4640338076114686,0.4483920470751487,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.750455,158,0,0,,0.46403235126724374,0.44839124276138964,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.754044,58164,0,0,,0.4640336920887565,0.4483935448063152,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.761191,159,0,0,,0.4640309443421382,0.44839190327760414,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.763810,58165,0,0,,0.4640333105163045,0.4483935339675783,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.770694,160,0,0,,0.4640317352136305,0.4483927610016645,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.773562,58166,0,0,,0.4640280203484539,0.44839299427495144,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.780514,161,0,0,,0.46403179893282387,0.4483920456494246,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.783479,58167,0,0,,0.46403184306758843,0.44839340441183906,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.793635,58168,0,0,,0.4640381594256251,0.4483917966211596,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.793660,162,0,0,,0.4640320645213884,0.4483917966211596,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.800495,163,0,0,,0.4640312160914647,0.4483933693705269,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.803965,58169,0,0,,0.46403182420764366,0.44839264149953284,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.811563,164,0,0,,0.46403048981270445,0.44839320696713714,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.813890,58170,0,0,,0.4640310705787931,0.44839270681287874,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.823743,165,0,0,,0.4640331879921496,0.4483948647211813,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.824066,58171,0,0,,0.4640317719914382,0.4483935537815307,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.830610,166,0,0,,0.4640354501446353,0.448393959873123,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.833512,58172,0,0,,0.4640276744338536,0.44839370850111004,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.840445,167,0,0,,0.464032927755544,0.44839204432016994,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.843638,58173,0,0,,0.4640329390769755,0.4483942169252446,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.850481,168,0,0,,0.464031197505777,0.4483923289962368,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.854069,58174,0,0,,0.4640355280499619,0.44839226929389536,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.860925,169,0,0,,0.4640313861849778,0.44839134492257904,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.864397,58175,0,0,,0.464030929321598,0.44839231089629106,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.870540,170,0,0,,0.4640357899122186,0.4483916073272946,0.0,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:46:45.873521,58176,0,0,,0.4640357866915341,0.44839276127399796,0.0,0.0,800.0,800.0,0.0,0.0
