time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.eth_p,.rem_p,.eth_f,.rem_f,.eth_k,.rem_k,.estim_eth_k,.estim_rem_k
2023/09/22/18:58:06.691913,135,0,0,,0.5106651534729523,0.3996215836695305,1.0826015731991077,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.693714,126258,0,0,,0.5106688230150834,0.39961894213704263,1.0941619670822138,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.702528,136,0,0,,0.5106689040347707,0.3996192448714988,1.0727160387881312,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.704685,126259,0,0,,0.5106680123339645,0.39961938355534166,1.0609560799165092,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.712414,137,0,0,,0.5106675714238105,0.39961867101769893,1.0524248608348585,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.713484,126260,0,0,,0.5106672366666855,0.39961838443109643,1.05849274090609,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.722384,138,0,0,,0.5106683906541034,0.3996184767090599,1.0544012123721591,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.723733,126261,0,0,,0.5106687143966433,0.39961759178762235,1.0429418864117237,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.732414,139,0,0,,0.5106670718825583,0.3996189857199043,1.061746879629302,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.733615,126262,0,0,,0.5106644935637296,0.3996172227634247,1.0501611588797564,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.742315,140,0,0,,0.5106682000667615,0.39961886750391984,1.034210964362632,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.744024,126263,0,0,,0.5106677085962926,0.39961792068283475,1.0355897269954277,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.752271,141,0,0,,0.5106650284753143,0.39962149175449163,1.0632042382602542,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.753742,126264,0,0,,0.5106659491756816,0.3996198312577065,1.081698058013384,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.761952,142,0,0,,0.5106652721734997,0.3996210636037545,1.0676576267005264,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.763963,126265,0,0,,0.5106681386724211,0.39961920548508034,1.0656110531876684,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.772522,143,0,0,,0.5106664941661313,0.39962127000831604,1.0617127870183367,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.773809,126266,0,0,,0.5106696297775959,0.39961941255328337,1.0614069847037801,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.782222,144,0,0,,0.5106666658129762,0.3996206270098972,1.0805175935297517,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.783843,126267,0,0,,0.51066604490795,0.3996215592095983,1.0899047341711248,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.792220,145,0,0,,0.5106695682329572,0.39961912165667757,1.0422372991183062,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.794370,126268,0,0,,0.5106692188846027,0.39961896644369577,1.035261497648311,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.801960,146,0,0,,0.5106681736587273,0.3996167615081032,1.0513871177937462,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.804238,126269,0,0,,0.5106653310023546,0.39961929965433807,1.0591520543667485,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.811878,147,0,0,,0.5106703621540987,0.3996167261743251,1.0437545572352562,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.815502,126270,0,0,,0.5106650984533014,0.39961724904150214,1.050652067109575,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.821990,148,0,0,,0.5106671680812364,0.3996181754641467,1.0255651531305228,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.823825,126271,0,0,,0.510668840922898,0.39961975204768496,1.030644817729714,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.832245,149,0,0,,0.51066874316621,0.39961922047540477,0.9874138865503891,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.833709,126272,0,0,,0.510670565634986,0.39961870058681925,0.9864058914398324,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.841922,150,0,0,,0.5106640227908233,0.3996192829396257,1.005156143955876,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.843718,126273,0,0,,0.5106637116376418,0.3996200013216352,1.0101915358384288,0.0,800.0,800.0,0.0,0.0
2023/09/22/18:58:06.852086,151,0,0,,0.5106672477602042,0.3996178190614216,1.0022315912553565,0.0,800.0,800.0,0.0,0.0
